arm,question_id,correctness,faithfulness,completeness,conciseness,rationale
closed_book,fit_sizing_000,1,5,1,5,"The candidate correctly identifies that no context was available, making it faithful and concise. However, it fails on correctness and completeness because the reference answer provides a detailed synthesis of buyer opinions, indicating that information *was* available to form a conclusion, whereas the candidate incorrectly claims there is not enough information to answer."
closed_book,fit_sizing_001,1,5,1,5,"The candidate correctly identifies that no context was available, making it faithful and concise. However, it fails in correctness and completeness because the reference answer provides a detailed summary of fit, implying that information was actually available or that the candidate's claim of 'no information' contradicts the ground truth provided for scoring purposes."
closed_book,fit_sizing_002,1,5,1,5,"The candidate correctly identifies that no context was available, making it faithful and concise. However, it fails in correctness and completeness because the reference answer provides a definitive answer based on external knowledge or a different data source, meaning the candidate's refusal to answer is factually incorrect relative to the ground truth."
closed_book,fit_sizing_003,1,5,1,5,"The candidate correctly identifies that no context was available, making it faithful and concise. However, it fails in correctness and completeness because the reference answer provides a detailed summary of mixed reviews, indicating that information *was* available to form an answer, whereas the candidate incorrectly claims there is not enough information."
closed_book,fit_sizing_004,1,1,1,2,"The candidate fails correctness and faithfulness by providing generic advice instead of the specific positive review consensus found in the reference, despite having no context to support its claims. It is incomplete as it omits the key finding that buyers overwhelmingly find the product comfortable."
closed_book,fit_sizing_008,1,5,1,5,"The candidate correctly identifies that no context was available, making it faithful and concise. However, it fails in correctness and completeness because the reference answer provides a substantive conclusion based on external knowledge or a different data source, whereas the candidate incorrectly claims the question is unanswerable."
closed_book,fit_sizing_010,1,5,1,5,"The candidate is faithful to the empty context by abstaining, but it is incorrect and incomplete because the reference answer provides specific details about mixed fit reports, meaning information was available to answer the question."
closed_book,fit_sizing_012,1,5,1,5,"The candidate correctly identifies that no context was available, making it faithful and concise. However, it fails in correctness and completeness because the reference answer provides a definitive conclusion based on external knowledge or a different context, meaning the candidate's refusal to answer contradicts the ground truth provided for scoring purposes."
closed_book,fit_sizing_016,1,5,1,5,"The candidate correctly identifies that no context was available, making it faithful and concise. However, it fails on correctness and completeness because the reference answer provides a detailed summary of buyer opinions, indicating that information *was* available to form an answer, whereas the candidate incorrectly claims there is not enough information."
closed_book,fit_sizing_017,1,5,1,5,"The candidate correctly identifies that no context was available, making it faithful and concise. However, it fails in correctness and completeness because the reference answer provides a substantive summary of fit for petite frames, implying that information was available or synthesized elsewhere, whereas the candidate incorrectly claims there is not enough information to answer."
